t,x_L,x_R
2.945,1.02152768985869,-1.2002843215399708
2.95,1.0984692582177766,-1.221123656781881
2.955,1.1600603218318075,-1.221236486095319
2.96,1.2104321459346596,-1.2038162640876182
2.965,1.241293978429577,-1.1623731502526506
2.97,1.2492128827906264,-1.1088115666541807
2.975,1.2275366439104176,-1.0353233534402784
2.98,1.1917146705992263,-0.9407252243553301
2.985,1.1365717480655642,-0.8348999873541063
2.99,1.0582322104950073,-0.7212606274543576
2.995,0.9644834415270275,-0.5959061506654929
3.0,0.8638161661869482,-0.4586628296511482
3.005,0.7459020550240727,-0.31634697845579146
3.0100000000000002,0.6191427682463345,-0.1669618852038647
3.015,0.48119816990389386,-0.01340381291878673
3.02,0.3407224654876318,0.13290530144532708
3.025,0.18475740463405588,0.2858086023678769
3.0300000000000002,0.019698827705598814,0.43488003503187067
3.035,-0.14851343379808896,0.5794828324819751
3.04,-0.3056541753547001,0.7105682373240685
3.045,-0.4579717065532167,0.8232344600734478
3.0500000000000003,-0.5989006805835502,0.9228866161966124
3.055,-0.7314146233927967,1.0214731342488512
3.06,-0.8600967360383441,1.1074819092752493
3.065,-0.9720777329077194,1.166374182581691
3.0700000000000003,-1.065411760468776,1.2125228433241049
3.075,-1.1423686153444053,1.2368803653074807
3.08,-1.1994736517068896,1.2391127118445153
3.085,-1.2413029679257939,1.2241949237850984
3.09,-1.2603555490249905,1.1844354604072937
3.095,-1.25928891209321,1.1302602703614466
3.1,-1.237904504757923,1.059941543561047
3.105,-1.1938965574430653,0.9766040121159301
3.11,-1.1343622596343204,0.8727062628958001
3.115,-1.0581325884714499,0.7574547461866957
3.12,-0.9598160104907507,0.629403130333413
3.125,-0.8460502820014161,0.48828288946668036
3.13,-0.7233549944309553,0.3356580655916808
3.1350000000000002,-0.583451210085409,0.18321585852973074
3.14,-0.44605444227521485,0.026851113401193446
3.145,-0.2906173933039637,-0.1300842248651631
3.15,-0.1343900810109118,-0.2896905022080838
3.1550000000000002,0.0353036441459343,-0.43602568794908053
3.16,0.19643739231413979,-0.5774026495907643
3.165,0.3468978732505851,-0.7137371298186279
3.17,0.49559796754741064,-0.8362842871298614
3.1750000000000003,0.6358038610296446,-0.9484892384569438
3.18,0.770706789859275,-1.0381731689528961
3.185,0.8881610968423371,-1.1164780750013694
3.19,0.983271971445536,-1.1732017137491915
3.1950000000000003,1.0645878334547576,-1.224842515578401
3.2,1.139230388732272,-1.2436897839462988
3.205,1.1871987031596203,-1.2463039098607769
3.21,1.2219921766560387,-1.2249504759817245
3.215,1.2404070928363602,-1.1755791953325856
3.22,1.233778709208503,-1.1204952558813597
3.225,1.2100265620017945,-1.0462638482592233
3.23,1.1706116614589368,-0.9584036275172412
3.235,1.1061398566698188,-0.8552570482621538
3.24,1.0281826384356032,-0.737425637631117
3.245,0.9273914504655246,-0.605783305270943
3.25,0.8169716330247943,-0.4647433920088917
3.255,0.692384867815528,-0.3199631238901279
3.2600000000000002,0.557056046584619,-0.1636384997310177
3.265,0.4161836381169601,-0.00972579303155362
3.27,0.2632819510068688,0.1396789059317827
3.275,0.1059291637498571,0.29112233963910994
3.2800000000000002,-0.04891008810829071,0.4347578713230667
3.285,-0.205364578324247,0.5721893928736141
3.29,-0.3606388339303493,0.6997720251365247
3.295,-0.5093590456370541,0.8190910270407042
3.3000000000000003,-0.6460109920862325,0.9260388362748362
3.305,-0.7718898708567862,1.0172084286540237
3.31,-0.8894830817264485,1.0949819706281656
3.315,-0.9915650549629962,1.1542392486907593
3.3200000000000003,-1.0741398363915964,1.196653937983415
3.325,-1.1402149136000528,1.213459394914329
3.33,-1.1882207875767001,1.2165728890005312
3.335,-1.216277352435528,1.2042721621299832
3.34,-1.2293544140350154,1.1744497017020146
3.345,-1.2190502408900732,1.1182507160389896
3.35,-1.1885512005385874,1.050322803174406
3.355,-1.1443683348904525,0.9686115097596723
3.36,-1.0763327543543315,0.8646793238747263
3.365,-0.994415442998766,0.7540734501695321
3.37,-0.8945514204942165,0.6247688522050242
3.375,-0.7791095607412438,0.4875468240246254
3.38,-0.653410061348391,0.34308372262528253
3.3850000000000002,-0.511628045565347,0.19095899240414102
3.39,-0.3618563155075761,0.03323192927146729
3.395,-0.2063027630090917,-0.12166666003021184
3.4,-0.049462802380872306,-0.2726461026068449
3.4050000000000002,0.10241326628270458,-0.4261023793353013
3.41,0.2615645609743341,-0.5686857785438413
3.415,0.41055208054340286,-0.7020348336026131
3.42,0.5594362216897126,-0.8284116623365412
3.4250000000000003,0.6966468569639702,-0.9354612946727631
3.43,0.8185490077638462,-1.0258548183615965
3.435,0.9262977354520463,-1.1006043258920162
3.44,1.028083283077905,-1.157733111873652
3.4450000000000003,1.11862602693065,-1.204817174207074
3.45,1.180855625790667,-1.228240631182121
3.455,1.2249609279377633,-1.2380506360121613
3.46,1.24735502432399,-1.2223280387281465
3.465,1.2523709279886497,-1.191478198962339
3.47,1.2421171498182455,-1.1416193102386953
3.475,1.205407746396793,-1.0756214238776967
3.48,1.1567927849198647,-0.9869663252469809
3.485,1.0843997892279864,-0.8843593833992732
3.49,0.9901229166177806,-0.7694119462135572
3.495,0.8803768850880704,-0.6391662180194272
3.5,0.7641626809762656,-0.49832864956245715
3.505,0.6301081701737038,-0.35327178026131556
3.5100000000000002,0.48654863999580233,-0.20422077111916245
3.515,0.3270629015904268,-0.05061030517353621
3.52,0.16785222620891146,0.10922802475917488
3.525,0.010731710222980292,0.26759394285478877
3.5300000000000002,-0.13977210558700237,0.42279447120108304
3.535,-0.2998487659565087,0.5655978633966622
3.54,-0.45461083494959076,0.7085669966965651
3.545,-0.6027171685437404,0.830604177484618
3.5500000000000003,-0.7431817192046287,0.9412215752699445
3.555,-0.8710377003296507,1.0311105200755402
3.56,-0.981371188053172,1.1123323525505602
3.565,-1.0755777998143243,1.177239288338811
3.5700000000000003,-1.1592685372545979,1.2168215249112673
3.575,-1.2177501585917536,1.2382874387926464
3.58,-1.2645796977191297,1.246745516008836
3.585,-1.2801903295172112,1.2321292377934243
3.59,-1.2747896017926008,1.2001055015568192
3.595,-1.2526492310906594,1.1470762126551068
3.6,-1.2140936023395665,1.0735201225658242
3.605,-1.1477158982182583,0.9880033626960186
